forecaster,cycle,date,state,call,source,notes
Cook,1998,6/10/1997,MN,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,NE,Lean R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,NH,Likely D,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,NM,Lean R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,NV,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,NY,Lean R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,OH,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,OK,Likely R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,OR,Likely D,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,PA,Likely R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
